Id,ActivityDate,TotalSteps,Calories,VeryActiveMinutes,SedentaryMinutes,Key,TotalMinutesAsleep,TotalTimeInBed
1503960366,12/4/2016,13162,1985,25,728,15039603662016-12-4,0,0
1503960366,4/13/2016,10735,1797,21,776,15039603662016-4-13,384,407
1503960366,4/14/2016,10460,1776,30,1218,15039603662016-4-14,0,0
1503960366,4/15/2016,9762,1745,29,726,15039603662016-4-15,412,442
1503960366,4/16/2016,12669,1863,36,773,15039603662016-4-16,340,367
1503960366,4/17/2016,9705,1728,38,539,15039603662016-4-17,700,712
1503960366,4/18/2016,13019,1921,42,1149,15039603662016-4-18,0,0
1503960366,4/19/2016,15506,2035,50,775,15039603662016-4-19,304,320
1503960366,4/20/2016,10544,1786,28,818,15039603662016-4-20,360,377
1503960366,4/21/2016,9819,1775,19,838,15039603662016-4-21,325,364
1503960366,4/22/2016,12764,1827,66,1217,15039603662016-4-22,0,0
1503960366,4/23/2016,14371,1949,41,732,15039603662016-4-23,361,384
1503960366,4/24/2016,10039,1788,39,709,15039603662016-4-24,430,449
1503960366,4/25/2016,15355,2013,73,814,15039603662016-4-25,277,323
1503960366,4/26/2016,13755,1970,31,833,15039603662016-4-26,245,274
1503960366,4/27/2016,18134,2159,78,1108,15039603662016-4-27,0,0
1503960366,4/28/2016,13154,1898,48,782,15039603662016-4-28,366,393
1503960366,4/29/2016,11181,1837,16,815,15039603662016-4-29,341,354
1503960366,4/30/2016,14673,1947,52,712,15039603662016-4-30,404,425
1503960366,1/5/2016,10602,1820,33,730,15039603662016-1-5,0,0
1503960366,2/5/2016,14727,2004,41,798,15039603662016-2-5,0,0
1503960366,3/5/2016,15103,1990,50,816,15039603662016-3-5,0,0
1503960366,4/5/2016,11100,1819,36,1179,15039603662016-4-5,0,0
1503960366,5/5/2016,14070,1959,45,857,15039603662016-5-5,247,264
1503960366,6/5/2016,12159,1896,24,754,15039603662016-6-5,0,0
1503960366,7/5/2016,11992,1821,37,833,15039603662016-7-5,0,0
1503960366,8/5/2016,10060,1740,44,574,15039603662016-8-5,0,0
1503960366,9/5/2016,12022,1819,46,835,15039603662016-9-5,0,0
1503960366,10/5/2016,12207,1859,46,746,15039603662016-10-5,0,0
1503960366,11/5/2016,12770,1783,36,669,15039603662016-11-5,0,0
1503960366,12/5/2016,0,0,0,1440,15039603662016-12-5,0,0
1624580081,12/4/2016,8163,1432,0,1294,16245800812016-12-4,0,0
1624580081,4/13/2016,7007,1411,0,1292,16245800812016-4-13,0,0
1624580081,4/14/2016,9107,1572,0,1204,16245800812016-4-14,0,0
1624580081,4/15/2016,1510,1344,0,1344,16245800812016-4-15,0,0
1624580081,4/16/2016,5370,1463,0,1264,16245800812016-4-16,0,0
